#{"t_start": 1722442269.9361308, "env_id": "None"}
r,l,t
-3.0226977719086668e+16,48,18.469417
-1470445837769983.8,48,18.502687
-1571743102493748.8,48,18.536866
-730745873411427.2,48,18.569983
-5833588783940745.0,48,18.602973
-7130246882262537.0,48,18.637084
-8709797528396283.0,48,18.669808
-3386067300802939.0,48,18.702865
-2802066528187666.5,48,18.737658
-2244669470176172.5,48,18.770644
-7624985788661919.0,48,18.803452
-8304713462030222.0,48,18.838266
-3642531681311607.0,48,18.871249
-4247076542646354.0,48,18.904563
-9845398444170106.0,48,18.938648
-4501931147073319.5,48,18.971422
-6754897145331516.0,48,19.004462
-6726506280185276.0,48,19.038755
-1.6769091911396806e+16,48,19.07151
-4370538606138485.0,48,19.104461
-1418442250168849.8,48,19.138374
-3037871982293340.0,48,19.171093
-2575001632249611.5,48,19.20364
-3316693058909312.0,48,19.23629
-1.6815472442252512e+16,48,19.270234
-3908896720879009.0,48,19.303095
-2914840771571904.5,48,19.335647
-1539339448502968.0,48,19.369587
-1842765806698142.8,48,19.402468
-5618620026191879.0,48,19.435186
-5907057357666962.0,48,19.468993
-4267565356777298.0,48,19.50244
-2459017914184106.0,48,19.535764
-6722014584468345.0,48,19.569907
-5441716385735193.0,48,19.602645
-3966986120498351.0,48,19.63564
-2992228421146982.5,48,19.814374
-5562379051764469.0,48,19.84901
-8775822037173382.0,48,19.882312
-1.7797258642487782e+16,48,19.915876
-2207146759500903.5,48,19.951469
-2439305044243842.0,48,19.985051
-3959585328115682.0,48,20.018443
-6785157363325641.0,48,20.05374
-1.0615263074763876e+16,48,20.087109
-4970411952403317.0,48,20.120096
-2816215747634508.0,48,20.154637
-3118483727354646.5,48,20.187545
-8527635065625769.0,48,20.220462
-1860677238153985.8,48,20.255191
-2.185156860177339e+16,48,20.287972
-1368960907872954.5,48,20.320799
-2953634058956042.0,48,20.354901
-1.3466903500334668e+16,48,20.387793
-3.2588411742632736e+16,48,20.42084
-1.696950579887136e+16,48,20.453964
-4582120030822848.0,48,20.488195
-1.9428625059630856e+16,48,20.52167
-1.7209665234095792e+16,48,20.554461
-2345387173729687.5,48,20.58837
-3593071016551719.0,48,20.621445
-4392021643183427.5,48,20.654235
-1.2364337706588802e+16,48,20.68796
-8074608031455087.0,48,20.720962
-7065832790245154.0,48,20.753939
-2384268980264672.0,48,20.787943
-4016111989583857.5,48,20.820762
-3391570593154730.0,48,20.853714
-3459413736356408.0,48,20.887526
-6345284446746967.0,48,20.920407
-1.0024557034432164e+16,48,20.953012
-8053159611507964.0,48,20.986986
-1763467503726596.2,48,21.019894
-1.042091247477247e+16,48,21.052645
-7466221352521381.0,48,21.086534
-6674709386253163.0,48,21.119233
-3149446788383422.5,48,21.15202
-3150437206679818.5,48,21.186238
-1106371204856141.2,48,21.218895
-3754451375708895.5,48,21.384162
-3388920595374901.5,48,21.417184
-5080512574204806.0,48,21.450162
-4387962245094529.5,48,21.484049
-3368222365442334.5,48,21.517138
-3733014881085704.5,48,21.550105
-2344204320584439.5,48,21.583963
-4069469209453871.5,48,21.616707
-376024749074935.5,48,21.649697
-3124583440356133.5,48,21.683914
-4143818388923473.0,48,21.716974
-9782478569943406.0,48,21.749717
-2933065237113225.5,48,21.783747
-1778560171318763.0,48,21.816619
-1699258024582350.2,48,21.849577
-5976848878087120.0,48,21.883615
-1420477240879930.2,48,21.916442
-1060823275119337.5,48,21.949314
-1.7737942274996848e+16,48,21.983448
-1.3185945177598392e+16,48,22.016236
-4831867061598612.0,48,22.049157
-3438537681416347.0,48,22.083142
-1.3479232291293372e+16,48,22.116129
-2306014404216556.0,48,22.148797
-2379581049892683.5,48,22.182704
-4929512399365538.0,48,22.215569
-3516649126664298.0,48,22.248458
-3109056931629654.0,48,22.28221
-4810565476930222.0,48,22.314916
-3694170962378797.0,48,22.347823
-4187558626886502.5,48,22.381842
-3467612433404829.0,48,22.414562
-1.1515831594559258e+16,48,22.447355
-2604426501548309.5,48,22.481271
-5418092560550548.0,48,22.51486
-2.651750758093023e+16,48,22.547619
-5488944055771267.0,48,22.58161
-2270856970808029.5,48,22.614564
-1681082608630462.8,48,22.647393
-531741526622275.56,48,22.680148
-2958384105521598.0,48,22.714231
-7454959167508847.0,48,22.747071
-2593655782999318.5,48,22.912811
-4625841194693635.0,48,22.946127
-2292967620443817.5,48,22.978963
-4742524268186249.0,48,23.013129
-1.2658687764987072e+16,48,23.046068
-9078669409069186.0,48,23.078732
-1431779848930719.8,48,23.112834
-2879636178162490.0,48,23.145822
-774156672396601.9,48,23.178608
-5258935799907747.0,48,23.21248
-6556219155262665.0,48,23.245221
-1.3368937499316682e+16,48,23.277984
-1.832843328059937e+16,48,23.312111
-4779927188157898.0,48,23.344826
-2919544614358993.5,48,23.377657
-2760379278311927.0,48,23.411706
-1.0463616851617586e+16,48,23.444577
-3694065086676001.5,48,23.477359
-960932313979632.0,48,23.512039
-2324344744201884.0,48,23.545587
-1709862170861763.8,48,23.578467
-4292148098967045.5,48,23.612505
-4801780227659808.0,48,23.645468
-3797096924907030.5,48,23.678456
-5844946754676923.0,48,23.712829
-3158801926792230.0,48,23.745439
-7209424207357419.0,48,23.778343
-8830691547875808.0,48,23.812751
-4042104193912401.5,64,24.096008
-2416531679767852.0,48,24.130533
-1418323851661205.0,48,24.163227
-6289408502467631.0,48,24.196167
-6206746972657992.0,48,24.230346
-1284848782047402.0,48,24.263298
-1.5191668715862036e+16,48,24.296188
-2855460625260685.5,48,24.330401
-3048288748416972.5,48,24.363035
-4221667322361440.0,48,24.39593
-2133923423877218.8,48,24.429959
-846754318030422.6,48,24.462844
-1955000829756217.8,48,24.495717
-2828250050412101.0,48,24.530698
-3757572653444691.5,48,24.56336
-1126189182633380.2,48,24.744244
-4862674061268674.0,48,24.777316
-1266097577287130.5,48,24.811718
-1632531332733120.0,48,24.845087
-1221625215885051.5,48,24.878504
-6717646507640811.0,48,24.913235
-3925861034780307.5,48,24.946797
-3334867158683623.5,48,24.979822
-4780418306140378.0,48,25.014035
-3.712611260891566e+16,48,25.047197
-1.0736454487639546e+16,48,25.08007
-4614849775317231.0,48,25.114104
-1763414636614648.5,48,25.146976
-1.4256423164111012e+16,48,25.179782
-3.873416000367731e+16,48,25.213998
-2427210527265314.0,48,25.246866
-1.2101246900881684e+16,48,25.279759
-3823851592948090.5,48,25.312661
-4758414326150729.0,48,25.347031
-1734994293911492.8,48,25.379785
-6097206861398994.0,48,25.412682
-3434940983689566.5,48,25.446962
-1.6489155802965418e+16,48,25.479905
-8136446628397270.0,48,25.513245
-7616452053962631.0,48,25.548014
-1567769845039153.5,48,25.581461
-7303886176831381.0,48,25.614761
-3170404106387706.0,48,25.64873
-1642107977150692.2,48,25.681813
-3654993415085150.0,48,25.714745
-1277223587880058.2,48,25.749016
-2360113764780396.0,48,25.782002
-1.626007012733714e+16,48,25.814983
-1358599558134770.8,48,25.849183
-1.829803235537711e+16,48,25.882167
-3462856138932535.5,48,25.915087
-2.580066190555636e+16,48,25.949106
-8728842936300170.0,48,25.982068
-5428497087789628.0,48,26.015017
-6036426949005228.0,48,26.048993
-3.4336569595053304e+16,48,26.081953
-4390109559070937.5,48,26.114836
-1.2292401942100782e+16,48,26.291778
-505863923996502.94,48,26.326089
-2421743026216634.5,48,26.35908
-3589138509043310.0,48,26.392124
-2019128115051086.2,48,26.425167
-6684139746321171.0,48,26.459372
-1877152833078023.5,48,26.492819
-1415063982090254.0,48,26.526481
-5232072689830540.0,48,26.561493
-4115666712793488.0,48,26.594419
-6815443351551792.0,48,26.627436
-1.1375727412950566e+16,48,26.661493
-1501021460608918.5,48,26.694456
-1811139814963254.0,48,26.727312
-7398357350545520.0,48,26.762038
-1796078938809541.2,48,26.795272
-4683062092668749.0,48,26.828376
-1018853826576554.4,48,26.862448
-1773895749932150.8,48,26.895341
-1.172298599790672e+16,48,26.928534
-3977477228474657.5,48,26.963072
-6246939157140274.0,48,26.996129
-1198012649179365.0,48,27.029442
-1706523092117318.5,48,27.063696
-4467609103068636.0,48,27.096766
-1.3772978281089336e+16,48,27.129665
-1473384947986400.2,48,27.1644
-3208916018016733.0,48,27.197979
-4102416415955274.0,48,27.231571
-1.144829609802157e+16,48,27.266363
-1954723572171120.5,48,27.299995
-1439269064769404.0,48,27.33362
-1407326022098895.8,48,27.368476
-884784514514415.6,48,27.401911
-7540566103412984.0,48,27.43549
-2535529033056507.0,48,27.470418
-2652383713871055.0,48,27.504135
-5837850686388005.0,48,27.537616
-4097364810828736.0,48,27.572332
-5153566192175908.0,48,27.606031
-1403517227474978.5,48,27.639606
-1609143883004206.5,48,27.674155
-4547738559022680.0,48,27.707641
-1.5644095880506718e+16,48,27.885745
-1749385224092402.2,48,27.919466
-2105252121064721.8,48,27.954236
-1879175828729804.2,48,27.98801
-1669731942237437.2,48,28.021615
-994272984530710.5,48,28.056474
-3517471616258359.5,48,28.08991
-2195846454353967.2,48,28.12366
-5047571345251455.0,48,28.158831
-1.2323053286096672e+16,48,28.192455
-7714529818444864.0,48,28.225985
-7816516350787490.0,48,28.260786
-3485500545402636.5,48,28.294375
-1881241730743111.0,48,28.328104
-862587570319995.2,48,28.362665
-2342393292383738.0,48,28.3962
-3312573355986442.0,48,28.429905
-8479137067840837.0,48,28.464688
-3260107810847837.0,48,28.498173
-2701391883354026.5,48,28.532021
-2910737720996349.5,48,28.56696
-5318561047460920.0,48,28.600689
-1.246289601080721e+16,48,28.634329
-5454916426833870.0,48,28.66898
-2.470151723971805e+16,48,28.702592
-2623440306448946.5,48,28.736233
-8780617794428771.0,48,28.770963
-5636791513610815.0,48,28.804559
-8128889803803721.0,48,28.838168
-1998258526018788.5,48,28.872892
-3708908758492059.5,48,28.906314
-2596387079401188.5,48,28.939964
-1.231449250269375e+16,48,28.974877
-2.1696070878703824e+16,48,29.008589
-6298302651748881.0,48,29.042049
-3783778510773103.5,48,29.076654
-3715959604563410.5,48,29.110167
-852392445813234.1,48,29.14354
-1844288117267115.8,48,29.178095
-2713144833069539.5,48,29.211658
-3.1882162105118496e+16,48,29.245172
-1.7081415157617586e+16,48,29.280012
